   Date      Prec    AWRI     EDI
1951-01-01    0.9   122.3   -1.71
1951-01-02    0.7   121.6   -1.70
1951-01-03    0.9   121.2   -1.71
1951-01-04    0.5   120.2   -1.72
1951-01-05    0.2   119.1   -1.70
1951-01-06    0.3   118.1   -1.70
1951-01-07    0.7   117.5   -1.73
1951-01-08    0.2   116.4   -1.74
1951-01-09    0.5   115.7   -1.74
1951-01-10    0.8   115.3   -1.73
1951-01-11    0.4   114.4   -1.78
1951-01-12    0.7   113.8   -1.76
1951-01-13    0.5   113.1   -1.76
1951-01-14    0.8   112.6   -1.74
1951-01-15    0.3   111.6   -1.77
1951-01-16    0.6   111.0   -1.78
1951-01-17    0.2   110.0   -1.77
1951-01-18    0.3   109.1   -1.77
1951-01-19    0.3   108.3   -1.78
1951-01-20    0.5   107.6   -1.79
1951-01-21    0.7   107.2   -1.79
1951-01-22    0.2   106.2   -1.80
1951-01-23    0.6   105.7   -1.81
1951-01-24    1.4   105.9   -1.76
1951-01-25    0.6   105.2   -1.74
1951-01-26    0.6   104.6   -1.75
1951-01-27    0.4   103.8   -1.76
1951-01-28    1.1   103.7   -1.73
1951-01-29    1.0   103.5   -1.71
1951-01-30    0.6   102.8   -1.71
1951-01-31    1.1   102.7   -1.69
1951-02-01    0.1   101.5   -1.70
1951-02-02    0.4   100.8   -1.70
1951-02-03    0.2    99.9   -1.71
1951-02-04    0.3    99.1   -1.70
1951-02-05    0.2    98.3   -1.69
1951-02-06    0.3    97.5   -1.69
1951-02-07    0.4    96.9   -1.68
1951-02-08    0.8    96.7   -1.71
1951-02-09    0.8    96.4   -1.73
1951-02-10    1.5    96.8   -1.68
1951-02-11    0.8    96.3   -1.68
1951-02-12    0.5    95.6   -1.68
1951-02-13    2.1    96.6   -1.69
1951-02-14    0.7    95.9   -1.69
1951-02-15    1.5    96.2   -1.66
1951-02-16    2.2    97.0   -1.62
1951-02-17    0.2    95.8   -1.63
1951-02-18    1.1    95.6   -1.60
1951-02-19    0.9    95.2   -1.60
1951-02-20    0.9    94.8   -1.59
1951-02-21    0.5    94.0   -1.51
1951-02-22    1.6    94.4   -1.49
1951-02-23    0.9    94.0   -1.53
1951-02-24    0.5    93.2   -1.54
1951-02-25    1.8    93.8   -1.59
1951-02-26    0.2    92.6   -1.62
1951-02-27    1.5    92.9   -1.59
1951-02-28    2.1    93.7   -1.62
1951-03-01    0.4    92.6   -1.63
1951-03-02    1.9    93.2   -1.67
1951-03-03    3.5    95.2   -1.73
1951-03-04    1.1    94.6   -1.72
1951-03-05    1.4    94.4   -1.71
1951-03-06    2.1    95.0   -1.69
1951-03-07    0.9    94.2   -1.74
1951-03-08    1.4    94.1   -1.60
1951-03-09    2.3    94.9   -1.59
1951-03-10    0.5    93.8   -1.60
1951-03-11    1.6    93.9   -1.56
1951-03-12    0.6    93.0   -1.57
1951-03-13    0.1    91.7   -1.61
1951-03-14    0.6    91.0   -1.64
1951-03-15    1.8    91.6   -1.61
1951-03-16    2.5    92.6   -1.64
1951-03-17    0.5    91.5   -1.62
1951-03-18    1.2    91.3   -1.51
1951-03-19    1.9    91.8   -1.56
1951-03-20    2.0    92.3   -1.52
1951-03-21    0.7    91.4   -1.55
1951-03-22    1.2    91.1   -1.58
1951-03-23    2.0    91.6   -1.62
1951-03-24    2.0    92.1   -1.67
1951-03-25    2.0    92.4   -1.66
1951-03-26    1.7    92.4   -1.60
1951-03-27    0.7    91.5   -1.58
1951-03-28    1.8    91.8   -1.51
1951-03-29    4.0    94.2   -1.43
1951-03-30    2.8    95.0   -1.45
1951-03-31    0.8    93.8   -1.45
1951-04-01    1.0    93.1   -1.47
1951-04-02    1.3    92.8   -1.51
1951-04-03    1.5    92.7   -1.50
1951-04-04    3.0    94.0   -1.43
1951-04-05    5.8    98.0   -1.31
1951-04-06    3.8    99.4   -1.32
1951-04-07    4.0   101.0   -1.23
1951-04-08    2.2   100.7   -1.20
1951-04-09    0.5    98.9   -1.23
1951-04-10    2.0    99.0   -1.22
1951-04-11    1.4    98.4   -1.25
1951-04-12    4.2   100.8   -1.16
1951-04-13    3.5   102.0   -1.08
1951-04-14    1.9   101.5   -1.11
1951-04-15    5.7   105.1   -1.02
1951-04-16    2.3   104.7   -1.03
1951-04-17    2.6   104.9   -1.00
1951-04-18    2.0   104.6   -1.05
1951-04-19    4.6   106.9   -1.01
1951-04-20    1.3   105.7   -1.05
1951-04-21    2.9   106.3   -1.09
1951-04-22    2.7   106.7   -1.12
1951-04-23    3.0   107.4   -1.07
1951-04-24    6.5   111.5   -0.94
1951-04-25    2.7   111.2   -0.93
1951-04-26    3.9   112.4   -0.92
1951-04-27    1.4   111.1   -0.92
1951-04-28    3.0   111.7   -0.92
1951-04-29    1.7   110.9   -1.01
1951-04-30    3.1   111.6   -0.97
1951-05-01    2.9   112.1   -0.93
1951-05-02    3.4   113.0   -0.88
1951-05-03    3.8   114.2   -0.83
1951-05-04    5.4   117.0   -0.75
1951-05-05    2.4   116.4   -0.78
1951-05-06    2.9   116.6   -0.90
1951-05-07    6.0   119.9   -0.89
1951-05-08    2.8   119.6   -0.88
1951-05-09    0.7   117.4   -0.92
1951-05-10    3.2   118.2   -0.98
1951-05-11    1.8   117.4   -1.04
1951-05-12    3.9   118.8   -1.08
1951-05-13    9.7   125.8   -0.95
1951-05-14    4.1   126.3   -0.94
1951-05-15    0.5   123.4   -0.98
1951-05-16    1.3   122.0   -1.03
1951-05-17    1.6   121.1   -1.03
1951-05-18    2.5   121.1   -1.06
1951-05-19    3.6   122.2   -1.07
1951-05-20    1.8   121.3   -1.08
1951-05-21    1.2   120.0   -1.09
1951-05-22    2.2   119.9   -1.15
1951-05-23    0.8   118.4   -1.15
1951-05-24    3.5   119.7   -1.09
1951-05-25    8.0   125.2   -0.99
1951-05-26    2.5   124.5   -0.99
1951-05-27    1.3   122.9   -1.03
1951-05-28    2.8   123.2   -1.01
1951-05-29    2.0   122.5   -0.99
1951-05-30    4.0   124.0   -0.91
1951-05-31    1.4   122.7   -0.92
1951-06-01    3.6   123.8   -0.90
1951-06-02    6.9   128.0   -0.82
1951-06-03    3.1   127.9   -0.83
1951-06-04    3.5   128.4   -0.84
1951-06-05    2.9   128.3   -0.88
1951-06-06    2.4   127.8   -0.87
1951-06-07    1.9   126.9   -0.85
1951-06-08    3.4   127.7   -0.86
1951-06-09    2.8   127.8   -0.85
1951-06-10    3.9   128.9   -0.92
1951-06-11    1.6   127.7   -0.91
1951-06-12    1.5   126.5   -0.94
1951-06-13    3.2   127.3   -0.87
1951-06-14    3.6   128.2   -0.87
1951-06-15    1.1   126.5   -0.89
1951-06-16    3.2   127.3   -0.93
1951-06-17    4.0   128.6   -0.92
1951-06-18    5.1   130.9   -0.98
1951-06-19    5.0   132.8   -0.84
1951-06-20    4.6   134.2   -0.82
1951-06-21    4.1   135.0   -0.76
1951-06-22   10.8   142.6   -0.66
1951-06-23    1.2   139.5   -0.70
1951-06-24    7.7   143.9   -0.57
1951-06-25   17.5   157.5   -0.40
1951-06-26    9.1   160.9   -0.40
1951-06-27    5.4   160.9   -0.43
1951-06-28    7.7   163.8    0.05
1951-06-29    7.7   166.6    0.03
1951-06-30    5.6   167.2    0.02
1951-07-01   19.5   182.0    0.05
1951-07-02   10.7   185.9   -0.03
1951-07-03   12.5   192.0    0.04
1951-07-04    9.5   194.8    0.08
1951-07-05    7.8   196.2    0.07
1951-07-06    6.4   196.5    0.07
1951-07-07   15.2   206.0    0.21
1951-07-08   11.5   210.6    0.26
1951-07-09   10.6   214.4    0.13
1951-07-10   13.8   221.3    0.16
1951-07-11   10.9   224.9    0.09
1951-07-12   12.6   230.3   -0.04
1951-07-13    8.1   230.9   -0.01
1951-07-14   13.7   237.7    0.01
1951-07-15   19.2   249.3   -0.02
1951-07-16   15.9   256.5   -0.08
1951-07-17   23.1   270.7   -0.02
1951-07-18    8.9   269.4   -0.01
1951-07-19   13.4   274.1   -0.04
1951-07-20   14.0   279.3   -0.01
1951-07-21   12.0   282.3    0.03
1951-07-22    6.3   279.8   -0.05
1951-07-23    9.0   281.0    0.00
1951-07-24   11.7   285.0   -0.04
1951-07-25   17.1   294.0    0.00
1951-07-26   14.3   299.3    0.01
1951-07-27   14.3   304.5   -0.09
1951-07-28   12.0   307.3   -0.09
1951-07-29   10.4   308.7   -0.11
1951-07-30    6.8   306.9   -0.09
1951-07-31    4.2   303.1   -0.09
1951-08-01    4.5   300.4   -0.15
1951-08-02   13.8   307.5   -0.16
1951-08-03   13.2   312.7   -0.11
1951-08-04   11.5   315.9   -0.17
1951-08-05    6.6   314.2   -0.16
1951-08-06    8.7   315.3   -0.16
1951-08-07   10.8   318.5   -0.24
1951-08-08   15.1   325.7   -0.20
1951-08-09    5.9   322.9   -0.21
1951-08-10   11.8   327.1   -0.22
1951-08-11    9.7   328.6   -0.23
1951-08-12    7.6   328.2   -0.24
1951-08-13    9.8   330.3   -0.24
1951-08-14   11.4   333.9   -0.22
1951-08-15    8.7   334.5   -0.21
1951-08-16    7.8   334.5   -0.20
1951-08-17   10.7   337.6   -0.17
1951-08-18    8.9   338.5   -0.15
1951-08-19   13.1   343.9   -0.13
1951-08-20   10.2   345.7   -0.18
1951-08-21    7.6   345.1   -0.19
1951-08-22    3.2   340.5   -0.19
1951-08-23   11.0   344.5   -0.17
1951-08-24    6.9   343.8   -0.23
1951-08-25   10.8   347.3   -0.26
1951-08-26    8.2   347.7   -0.26
1951-08-27   11.8   352.0   -0.31
1951-08-28    7.3   351.2   -0.36
1951-08-29    6.8   350.4   -0.35
1951-08-30    8.0   351.1   -0.33
1951-08-31   10.9   354.7   -0.33
1951-09-01   16.1   363.0   -0.33
1951-09-02   11.9   366.1   -0.34
1951-09-03    7.8   365.2   -0.29
1951-09-04   10.8   367.9   -0.24
1951-09-05   13.5   373.2   -0.21
1951-09-06    6.5   370.9   -0.22
1951-09-07    2.8   365.7   -0.22
1951-09-08    4.9   363.6   -0.19
