   Date      Prec    AWRI     EDI
1951-01-15   18.6   227.4   -1.67
1951-02-15   25.0   201.0   -1.59
1951-03-15   48.0   200.4   -1.49
1951-04-15   85.5   232.5   -1.00
1951-05-15   94.0   259.9   -0.95
1951-06-15  144.1   328.3   -0.51
1951-07-15  375.4   608.2   -0.34
1951-08-15  292.3   722.9   -0.51
1951-09-15  151.7   678.9   -0.46
1951-10-15   50.6   563.5   -0.53
1951-11-15   50.2   487.6   -0.59
1951-12-15   22.8   402.8   -0.61
1952-01-15   18.6   333.1   -0.67
1952-02-15   25.0   282.2   -0.66
1952-03-15   48.0   260.7   -0.67
1952-04-15   85.5   275.0    0.13
1952-05-15   94.0   287.6   -0.10
1952-06-15  144.1   344.0    0.07
1952-07-15  375.4   613.7   -0.05
1952-08-15  292.3   722.9   -0.29
1952-09-15  151.7   678.9   -0.27
1952-10-15   50.6   563.5   -0.29
1952-11-15   50.2   487.6   -0.32
1952-12-15   22.8   402.8   -0.31
1953-01-15   18.6   333.1   -0.35
1953-02-15   25.0   282.2   -0.33
1953-03-15   48.0   260.7   -0.31
1953-04-15   85.5   275.0    0.13
1953-05-15   94.0   287.6   -0.10
1953-06-15  144.1   344.0    0.07
1953-07-15  375.4   613.7   -0.05
1953-08-15  292.3   722.9   -0.29
1953-09-15  151.7   678.9   -0.27
1953-10-15   50.6   563.5   -0.29
1953-11-15   50.2   487.6   -0.32
1953-12-15   30.3   410.3   -0.25
1954-01-15   14.0   333.6   -0.34
1954-02-15  111.3   369.3    0.95
1954-03-15    4.9   276.8   -0.02
1954-04-15   59.4   264.9   -0.06
1954-05-15   61.5   250.9   -0.60
1954-06-15  229.9   405.4    0.62
1954-07-15  587.5   865.4    1.07
1954-08-15  209.0   812.8    0.05
1954-09-15   53.2   656.3   -0.35
1954-10-15   45.1   552.8   -0.33
1954-11-15   19.6   451.8   -0.52
1954-12-15   40.4   395.6   -0.31
1955-01-15   12.3   318.6   -0.41
1955-02-15    9.6   253.8   -0.53
1955-03-15   15.7   207.3   -0.82
1955-04-15   55.0   204.8   -0.76
1955-05-15   80.7   220.5   -0.83
1955-06-15  316.5   462.0    1.13
1955-07-15  397.5   708.2    0.37
1955-08-15   60.0   562.9   -0.88
1955-09-15  187.9   616.8   -0.51
1955-10-15   26.7   492.3   -0.68
1955-11-15   56.2   440.8   -0.67
1955-12-15   12.6   355.1   -0.74
1956-01-15    6.3   284.2   -0.90
1956-02-15   26.6   246.7   -0.82
1956-03-15  139.3   324.0    0.79
1956-04-15   65.9   294.7    0.48
1956-05-15   72.4   281.0   -0.20
1956-06-15  417.5   613.9    2.49
1956-07-15  523.8   948.8    1.44
1956-08-15   47.2   725.7   -0.28
1956-09-15  346.0   900.1    0.57
1956-10-15   29.7   702.1    0.47
1956-11-15   16.1   563.2    0.23
1956-12-15   10.3   454.0    0.16
1957-01-15   43.1   399.0    0.45
1957-02-15   14.7   318.8    0.21
1957-03-15   16.7   254.7   -0.40
1957-04-15  105.9   290.8    0.41
1957-05-15   60.5   259.8   -0.50
1957-06-15   32.7   207.3   -1.10
1957-07-15  474.8   617.0   -0.03
1957-08-15  286.5   713.0   -0.34
1957-09-15    4.5   519.1   -0.85
1957-10-15   83.6   487.4   -0.70
1957-11-15   20.5   397.6   -0.94
1957-12-15   76.8   388.8   -0.52
1958-01-15   55.0   352.6   -0.32
1958-02-15    7.7   275.9   -0.54
1958-03-15   25.6   235.6   -0.76
1958-04-15  142.3   316.1    0.85
1958-05-15   23.8   246.5   -0.68
1958-06-15   39.3   215.6   -1.11
1958-07-15  383.8   533.5   -0.44
1958-08-15  193.9   564.4   -0.92
1958-09-15  243.1   658.0   -0.41
1958-10-15  120.1   606.1   -0.16
1958-11-15   49.6   509.9   -0.27
1958-12-15   41.2   435.5   -0.17
1959-01-15    3.9   342.1   -0.37
1959-02-15   58.0   325.5    0.31
1959-03-15  163.6   409.2    2.26
1959-04-15  114.7   409.9    2.50
1959-05-15   91.2   389.5    1.34
